ticket_id,created_at,first_responded_at,resolved_at,priority,channel,agent_id
T0025,2026-06-10T05:00:00,2026-06-10T10:52:15.744926,2026-06-11T15:39:10.131060,P3,chat,AG06
T0026,2026-08-06T23:00:00,2026-08-07T01:55:49.464355,2026-08-07T20:28:57.500071,P3,phone,AG04
T0027,2026-06-11T14:00:00,2026-06-11T15:58:18.806165,2026-06-11T21:50:48.823986,P2,portal,AG01
T0028,2026-07-29T00:00:00,2026-07-29T01:07:52.827069,2026-07-29T23:52:11.787700,P3,email,AG05
T0029,2026-06-18T07:00:00,2026-06-18T14:32:47.510898,2026-06-19T07:55:19.525191,P4,chat,AG02
T0030,2026-08-04T05:00:00,2026-08-04T05:37:44.901193,2026-08-04T11:49:16.626024,P2,phone,AG03
T0031,2026-08-20T22:00:00,2026-08-20T23:43:22.983715,2026-08-21T11:55:26.867780,P2,portal,AG04
T0032,2026-08-21T23:00:00,2026-08-22T00:01:46.639487,2026-08-22T09:51:40.511768,P3,email,AG03
T0033,2026-07-16T04:00:00,2026-07-16T08:46:03.660268,2026-07-17T02:27:26.519511,P3,chat,AG02
T0034,2026-08-01T17:00:00,2026-08-01T18:09:44.938011,2026-08-01T20:17:50.882660,P2,phone,AG05
T0035,2026-07-21T20:00:00,2026-07-22T06:12:31.681163,2026-07-24T16:44:01.590049,P4,portal,AG03
T0036,2026-08-28T11:00:00,2026-08-28T12:31:48.333167,2026-08-29T16:36:51.341167,P3,email,AG05
T0037,2026-08-25T19:00:00,2026-08-25T20:52:31.525143,2026-08-27T01:43:20.333675,P3,chat,AG02
T0038,2026-07-11T20:00:00,2026-07-12T04:53:31.123982,2026-07-13T07:52:18.351488,P4,phone,AG05
T0039,2026-08-24T02:00:00,2026-08-24T02:40:43.359346,2026-08-24T10:46:56.057203,P3,portal,AG03
T0040,2026-08-20T14:00:00,2026-08-20T18:46:13.987106,2026-08-22T00:46:56.719695,P3,email,AG04
T0041,2026-07-30T15:00:00,2026-07-30T19:53:22.017998,2026-08-01T02:25:56.505395,P4,chat,AG02
T0042,2026-08-20T05:00:00,2026-08-20T05:32:28.864198,2026-08-20T14:51:53.029339,P2,phone,AG05
T0043,2026-06-01T07:00:00,2026-06-01T11:31:36.112551,2026-06-02T13:23:24.089481,P3,portal,AG01
T0044,2026-06-21T11:00:00,2026-06-21T20:20:40.430749,2026-06-24T11:30:35.395877,P4,email,AG04
T0045,2026-07-01T11:00:00,2026-07-01T15:25:15.697317,2026-07-01T21:25:44.385653,P3,chat,AG06
T0046,2026-08-07T13:00:00,2026-08-07T18:05:02.430180,2026-08-07T23:22:39.860345,P3,phone,AG02
T0047,2026-06-30T00:00:00,2026-06-30T01:17:37.875867,2026-07-02T13:21:24.700209,P4,portal,AG04
T0048,2026-06-25T22:00:00,2026-06-26T02:10:28.319689,2026-06-26T19:16:55.178733,P3,email,AG03
T0049,2026-06-27T14:00:00,2026-06-27T15:18:27.841515,2026-06-27T22:23:55.688166,P3,chat,AG06
T0050,2026-06-18T12:00:00,2026-06-18T18:15:26.470672,2026-06-19T08:08:47.991225,P3,phone,AG02
T0051,2026-07-07T00:00:00,2026-07-07T00:12:26.837564,2026-07-07T05:00:25.097468,P1,portal,AG05
T0052,2026-07-26T15:00:00,2026-07-26T18:05:02.078671,2026-07-27T02:40:12.226592,P3,email,AG06
T0053,2026-07-31T09:00:00,2026-07-31T17:03:59.033484,2026-08-03T14:03:11.852169,P4,chat,AG05
T0054,2026-08-11T18:00:00,2026-08-12T04:22:01.681166,2026-08-12T23:09:12.341274,P4,phone,AG02
T0055,2026-08-29T08:00:00,2026-08-29T13:52:56.284291,2026-08-30T13:44:31.820635,P3,portal,AG05
T0056,2026-06-01T16:00:00,2026-06-01T18:35:52.415420,2026-06-02T21:54:32.860707,P4,email,AG05
T0057,2026-06-21T12:00:00,2026-06-21T14:30:36.803753,2026-06-22T10:30:49.550240,P3,chat,AG05
T0058,2026-08-22T08:00:00,2026-08-22T10:07:54.601617,2026-08-24T19:13:14.625663,P4,phone,AG02
T0059,2026-07-03T15:00:00,2026-07-03T20:15:44.196392,2026-07-04T13:12:57.570373,P3,portal,AG05
T0060,2026-06-05T18:00:00,2026-06-06T04:43:59.540595,2026-06-07T21:01:38.595182,P4,email,AG05
T0061,2026-08-26T06:00:00,2026-08-26T07:43:46.751244,2026-08-26T21:45:40.302461,P3,chat,AG05
T0062,2026-08-21T14:00:00,2026-08-21T16:01:37.958743,2026-08-22T12:38:59.533010,P3,phone,AG03
T0063,2026-07-05T13:00:00,2026-07-05T15:27:45.962338,2026-07-06T17:30:48.732505,P4,portal,AG04
T0064,2026-07-24T22:00:00,2026-07-24T22:36:28.215806,2026-07-25T01:48:15.582372,P2,email,AG06
T0065,2026-07-22T16:00:00,2026-07-23T02:34:05.815023,2026-07-23T22:48:40.549190,P4,chat,AG06
T0066,2026-08-02T11:00:00,2026-08-02T12:47:06.696702,2026-08-03T00:38:34.773394,P2,phone,AG02
T0067,2026-06-17T01:00:00,2026-06-17T04:30:17.189205,2026-06-18T12:42:59.042638,P3,portal,AG02
T0068,2026-06-28T13:00:00,2026-06-28T19:37:48.411997,2026-06-29T08:18:24.022913,P3,email,AG04
T0069,2026-07-04T09:00:00,2026-07-04T10:04:06.707380,2026-07-05T03:14:48.013437,P3,chat,AG03
T0070,2026-08-18T06:00:00,2026-08-18T06:36:41.419974,2026-08-18T23:16:54.987226,P3,phone,AG05
T0071,2026-07-21T10:00:00,2026-07-21T10:53:47.255596,2026-07-22T21:34:56.391009,P3,portal,AG02
T0072,2026-06-18T21:00:00,2026-06-18T21:39:54.675021,2026-06-19T09:57:53.588068,P2,email,AG02
T0073,2026-07-17T03:00:00,2026-07-17T12:44:39.447104,2026-07-20T10:28:16.132470,P4,chat,AG06
T0074,2026-07-15T03:00:00,2026-07-15T06:48:32.495367,2026-07-16T01:24:50.088021,P3,phone,AG04
T0075,2026-07-26T19:00:00,2026-07-26T19:16:19.674982,2026-07-27T05:34:12.940625,P2,portal,AG04
T0076,2026-06-13T08:00:00,2026-06-13T08:36:13.664253,2026-06-13T18:28:47.444917,P3,email,AG03
T0077,2026-06-15T07:00:00,2026-06-15T08:52:17.457371,2026-06-15T22:24:16.660406,P3,chat,AG01
T0078,2026-08-17T10:00:00,2026-08-17T10:39:48.042370,2026-08-17T14:30:23.623222,P1,phone,AG03
T0079,2026-06-23T01:00:00,2026-06-23T01:29:50.027108,2026-06-23T08:37:43.519799,P1,portal,AG02
T0080,2026-07-15T16:00:00,2026-07-15T16:32:11.670442,2026-07-15T22:25:54.899202,P2,email,AG03
T0081,2026-07-06T03:00:00,2026-07-06T06:35:01.966917,2026-07-06T15:58:52.308329,P3,chat,AG03
T0082,2026-06-04T02:00:00,2026-06-04T03:23:38.855099,2026-06-04T23:17:25.341968,P4,phone,AG05
T0083,2026-07-03T08:00:00,2026-07-03T10:00:54.085335,2026-07-04T04:31:03.199362,P3,portal,AG06
T0084,2026-08-13T18:00:00,2026-08-13T21:51:59.118793,2026-08-15T02:53:03.577690,P3,email,AG05
T0085,2026-07-23T12:00:00,2026-07-23T18:33:30.179997,2026-07-24T05:35:44.626242,P3,chat,AG06
T0086,2026-06-24T20:00:00,2026-06-24T22:38:35.658399,2026-06-25T05:31:22.364508,P3,phone,AG02
T0087,2026-06-03T10:00:00,2026-06-03T11:31:29.868708,2026-06-03T15:48:41.517520,P2,portal,AG02
T0088,2026-06-10T10:00:00,2026-06-10T11:42:32.375280,2026-06-10T22:34:33.297721,P2,email,AG06
T0089,2026-07-19T02:00:00,2026-07-19T06:46:17.618475,2026-07-19T11:15:59.939241,P3,chat,AG02
T0090,2026-06-27T21:00:00,2026-06-27T21:31:20.424221,2026-06-28T15:11:45.448301,P3,phone,AG03
T0091,2026-07-26T05:00:00,2026-07-26T06:56:13.400682,2026-07-26T11:24:18.097540,P2,portal,AG03
T0092,2026-07-02T05:00:00,2026-07-02T05:18:21.415874,2026-07-02T09:50:52.302352,P1,email,AG05
T0093,2026-07-05T07:00:00,2026-07-05T08:35:23.171304,2026-07-05T10:59:57.727174,P2,chat,AG01
T0094,2026-06-25T13:00:00,2026-06-25T13:45:25.006461,2026-06-25T21:37:47.410015,P3,phone,AG03
T0095,2026-07-10T17:00:00,2026-07-10T18:55:20.405387,2026-07-11T05:23:08.600964,P2,portal,AG02
T0096,2026-08-06T11:00:00,2026-08-06T19:41:14.007221,2026-08-08T17:35:36.069912,P4,email,AG03
T0097,2026-06-25T16:00:00,2026-06-25T16:34:14.108041,2026-06-25T23:21:05.954887,P1,chat,AG06
T0098,2026-08-13T06:00:00,2026-08-13T11:30:31.259929,2026-08-13T17:54:02.207090,P3,phone,AG05
T0099,2026-08-26T01:00:00,2026-08-26T06:30:46.499704,2026-08-26T09:27:00.839787,P3,portal,AG06
T0100,2026-07-10T05:00:00,2026-07-10T05:14:36.289869,2026-07-10T15:00:29.947131,P2,email,AG01
T0101,2026-08-04T06:00:00,2026-08-04T12:57:27.446265,2026-08-06T21:56:37.311347,P4,chat,AG06
T0102,2026-07-12T17:00:00,2026-07-12T17:31:13.578062,2026-07-13T23:20:07.913249,P3,phone,AG06
T0103,2026-08-25T20:00:00,2026-08-25T21:58:50.570028,2026-08-28T04:49:09.518143,P4,portal,AG06
T0104,2026-08-20T20:00:00,2026-08-20T20:57:32.789999,2026-08-21T11:26:08.268797,P3,email,AG06
T0105,2026-07-06T00:00:00,2026-07-06T01:21:29.553048,2026-07-06T08:03:49.466533,P2,chat,AG04
T0106,2026-06-14T02:00:00,2026-06-14T06:42:58.063692,2026-06-15T07:28:30.586666,P3,phone,AG05
T0107,2026-07-04T20:00:00,2026-07-04T20:26:13.005481,2026-07-05T01:47:36.035154,P2,portal,AG06
T0108,2026-07-22T22:00:00,2026-07-22T23:19:22.390394,2026-07-23T19:30:28.006385,P3,email,AG04
T0109,2026-07-16T20:00:00,2026-07-16T22:03:41.532352,2026-07-18T07:14:18.752059,P4,chat,AG04
T0110,2026-07-20T15:00:00,2026-07-20T17:15:39.066634,2026-07-21T12:02:42.478916,P3,phone,AG01
T0111,2026-07-05T00:00:00,2026-07-05T01:01:45.964608,2026-07-05T21:14:32.873009,P3,portal,AG03
T0112,2026-08-18T07:00:00,2026-08-18T08:05:43.682195,2026-08-18T20:56:26.522661,P2,email,AG03
T0113,2026-08-06T00:00:00,2026-08-06T01:54:00.876028,2026-08-06T05:19:04.068382,P2,chat,AG05
T0114,2026-06-16T09:00:00,2026-06-16T10:07:38.833703,2026-06-16T22:28:48.517331,P2,phone,AG02
T0115,2026-08-26T19:00:00,2026-08-26T20:11:41.441932,2026-08-27T13:13:31.003406,P3,portal,AG04
T0116,2026-08-22T23:00:00,2026-08-23T00:28:51.248971,2026-08-24T09:35:55.924892,P3,email,AG06
T0117,2026-08-16T22:00:00,2026-08-17T02:59:03.457479,2026-08-17T17:39:11.064392,P3,chat,AG04
T0118,2026-07-24T22:00:00,2026-07-24T22:46:26.740784,2026-07-25T04:34:12.084444,P2,phone,AG03
T0119,2026-08-07T23:00:00,2026-08-08T00:51:54.232475,2026-08-08T09:50:35.733206,P2,portal,AG06
